Id,AI declaration,Date of birth,Source of wealth salary,Source of wealth investment gain,Source of wealth inheritance,Source of wealth rental income,Source of wealth business revenue,Source of wealth other,Source of funds salary,Source of funds investment gain,Source of funds inheritance,Source of funds rental income,Source of funds business revenue,Source of funds other,default
8117,False,22.03.1994,True,False,True,False,True,Royalty earnings,True,False,False,True,False,Gift,False
4869,False,27.10.1971,True,True,False,False,True,Crypto holdings,False,False,True,False,False,Pension,False
7877,True,06.02.1996,True,False,False,False,True,Royalty earnings,True,False,True,False,False,Pension,False
8227,True,22.04.1991,False,False,False,True,False,Crypto holdings,False,False,True,True,False,Grant,False
7147,False,05.10.1996,False,True,False,False,False,IP ownership,True,True,False,False,True,Pension,False
1381,True,02.07.1977,True,False,True,False,True,IP ownership,False,True,False,True,True,Gift,False
5888,True,21.03.1993,False,False,True,True,False,Royalty earnings,False,False,True,False,False,Gift,True
8767,True,13.03.1977,True,True,False,False,False,Crypto holdings,False,True,False,True,True,Pension,False
5308,True,05.10.2000,True,True,True,False,True,IP ownership,True,False,True,True,False,Gift,False
2323,True,14.03.1974,True,False,True,False,True,Crypto holdings,False,False,True,False,True,Pension,False
2992,False,02.08.1960,True,True,False,True,False,Crypto holdings,False,False,False,False,True,Grant,False
6064,True,19.03.1987,False,True,False,True,False,Royalty earnings,False,True,False,True,False,Grant,False
9316,False,25.03.1969,True,True,True,True,True,Royalty earnings,True,False,True,True,True,Grant,False
7437,True,18.07.1960,True,True,False,False,True,Royalty earnings,True,False,True,True,True,Grant,False
8162,True,05.06.1955,True,False,True,True,True,Crypto holdings,False,True,True,False,True,Pension,False
8508,True,03.07.1997,False,True,True,False,False,Royalty earnings,True,True,False,False,False,Grant,False
9440,False,20.07.1987,True,True,False,False,True,Royalty earnings,False,False,True,False,True,Grant,True
7577,False,05.06.2001,False,True,False,True,True,Crypto holdings,True,False,False,False,True,Gift,False
3557,True,15.11.1964,False,False,False,False,True,Royalty earnings,False,True,True,False,True,Pension,False
4304,True,12.06.1954,False,True,True,False,False,Crypto holdings,True,False,False,False,False,Grant,True
7827,False,27.03.1961,True,False,False,False,True,Royalty earnings,False,False,False,True,False,Pension,False
1872,True,24.11.1959,True,False,False,True,True,Crypto holdings,False,True,True,True,False,Gift,False
2388,False,25.07.1956,False,True,True,True,True,Royalty earnings,True,False,False,True,True,Gift,False
4927,False,07.06.2002,False,True,False,True,True,Royalty earnings,False,False,True,False,False,Grant,True
8648,True,23.09.1982,False,False,False,False,False,Royalty earnings,False,False,False,True,False,Grant,True
3118,True,16.09.1974,True,False,True,True,True,IP ownership,True,True,False,False,True,Grant,False
1914,False,04.07.2004,True,False,True,False,False,Royalty earnings,False,False,True,True,True,Gift,False
4824,False,17.06.1997,True,False,False,True,True,IP ownership,True,True,False,False,False,Grant,False
3111,True,20.06.1971,True,True,False,True,True,Royalty earnings,True,False,False,False,True,Pension,False
2241,True,30.07.1972,True,True,False,False,True,Crypto holdings,False,True,True,True,False,Grant,False
4882,False,25.10.1974,True,True,True,True,True,Royalty earnings,True,False,True,True,True,Gift,False
6562,True,05.09.1999,False,False,False,False,True,Crypto holdings,False,True,False,False,False,Pension,True
9860,False,18.12.1972,True,True,False,True,True,Crypto holdings,False,True,True,True,False,Gift,False
3621,True,06.05.1961,True,False,False,True,False,Royalty earnings,True,True,False,False,True,Gift,False
5708,True,11.12.1960,False,False,True,True,True,Crypto holdings,True,False,False,False,True,Gift,False
3467,True,13.07.1982,True,True,True,True,False,Royalty earnings,True,True,False,True,True,Grant,False
5145,True,28.09.2000,True,True,False,True,False,Crypto holdings,True,True,False,True,False,Pension,False
